(7-(4*(4*3)))	7443**-
(5*(4/(4-0)))	5440-/*
(9-(0*(9/2)))	9092/*-
(5/((6/9)+0))	569/0+/
(2+(6+(7*8)))	2678*++
(4/(0+(6*8)))	4068*+/
(4+(5+(8+9)))	4589+++
(2-((5+8)*4))	258+4*-
((1+4)+(4/1))	14+41/+
(2/(4/(4-2)))	2442-//
((4*7)+(9*5))	47*95*+
(1*(0/(6*6)))	1066*/*
(4/(1-(3/7)))	4137/-/
((9-8)+(8+8))	98-88++
(1*(6-(3*0)))	1630*-*
((0*0)+(1-1))	00*11-+
(3+((6*8)-1))	368*1-+
(6/(6+(9*1)))	6691*+/
(5/(8+(9*0)))	5890*+/
(1/(0+(1*5)))	1015*+/
(2-(6*(9/3)))	2693/*-
((7*0)+(1/5))	70*15/+
(5/((2*8)/1))	528*1//
(9+(7/(2/8)))	9728//+
(7/((3/5)/6))	735/6//
(6*(8-(7-0)))	6870--*
(4*(0+(1-4)))	4014-+*
(9-(7+(7-0)))	9770-+-
(9-(7*(9+6)))	9796+*-
(6+(7+(4/6)))	6746/++
(9/(5-(7+8)))	9578+-/
(0*(4/(4-0)))	0440-/*
(0+((0/7)*9))	007/9*+
((2+(8/5))/7)	285/+7/
(7/(7-(8/5)))	7785/-/
((0*0)+(1*0))	00*10*+
(8*(2+(1+1)))	8211++*
(3+(4/(8/8)))	3488//+
(8*(1-(8+8)))	8188+-*
(0/(0-(8-9)))	0089--/
(6*(9*(0+3)))	6903+**
((9/(0/3))/4)	903//4/
(7/(8*(6*8)))	7868**/
(6/(0-(2-8)))	6028--/
(3+(9+(6/7)))	3967/++
(8/(7+(1-4)))	8714-+/
(5+(9+(4-7)))	5947-++
((4-(6+9))+5)	469+-5+
(5/(5/(8+2)))	5582+//
(4+(1+(8-3)))	4183-++
((8+9)-(7/5))	89+75/-
((0-(9/5))-8)	095/-8-
((6*4)*(6+0))	64*60+*
(0+(1+(5*1)))	0151*++
((6-0)*(6*7))	60-67**
(9*(4-(6*6)))	9466*-*
(2/(2-(9*6)))	2296*-/
(5/(3+(5+0)))	5350++/
(3*(3-(9/2)))	3392/-*
(4-(4/(6*8)))	4468*/-
(9+(7+(7/9)))	9779/++
((4/(3-0))+5)	430-/5+
(1/((6+9)-7))	169+7-/
(1*(0+(7+4)))	1074++*
(9*(1*(2*8)))	9128***
((5/7)-(0*2))	57/02*-
(8+(4/(1/2)))	8412//+
((8/7)/(5-2))	87/52-/
(1+(7*(9/5)))	1795/*+
(0-(2+(3/0)))	0230/+-
(2+((1/3)-4))	213/4-+
(8+(0/(3*7)))	8037*/+
((9*2)*(7+8))	92*78+*
((5+5)+(6*4))	55+64*+
(9/(7/(4*0)))	9740*//
(7+(3*(4+1)))	7341+*+
(4*(4-(4+2)))	4442+-*
(8*((4*5)*7))	845*7**
(0/(5/(3/9)))	0539///
(2-(8-(4-3)))	2843---
(6-(4+(1-5)))	6415-+-
(1/(5+(3*5)))	1535*+/
(4/(0/(9*6)))	4096*//
((5-9)/(5*3))	59-53*/
(0/(6+(0*3)))	0603*+/
(5+(2-(1/7)))	5217/-+
((0*2)-(9+3))	02*93+-
(9/(4/(4-7)))	9447-//
(3/(9/(5*3)))	3953*//
(1*(9*(5*4)))	1954***
(2*(8/(2*6)))	2826*/*
((4+1)+(1*5))	41+15*+
(5/(8*(4*8)))	5848**/
(4/(3/(4/5)))	4345///
((0*3)+(6*3))	03*63*+
((5+8)+(7/8))	58+78/+
(6+(5-(4*6)))	6546*-+
((0*4)-(1-6))	04*16--
(0/(8+(3*4)))	0834*+/
(1-(5*(2*6)))	1526**-
(7+(6/(6+5)))	7665+/+
(0+(0/(8+9)))	0089+/+
(9*(3+(4/0)))	9340/+*
(6/(8+(8/2)))	6882/+/
(8/(9*(6-5)))	8965-*/
(4+(7-(1+8)))	4718+-+
(0-(4*(7+4)))	0474+*-
(6-(2+(8+7)))	6287++-
(9-((9/4)-6))	994/6--
(2/(8-(2*2)))	2822*-/
((2+0)-(6/7))	20+67/-
(8/((2/1)*9))	821/9*/
(7*((4+6)-2))	746+2-*
((4*7)/(2/7))	47*27//
(4+(7-(4+1)))	4741+-+
(4/(4+(7*8)))	4478*+/
((9-(6*7))-9)	967*-9-
(1*(2*(8*8)))	1288***
((4/2)*(2+9))	42/29+*
(5+(1/(0+1)))	5101+/+
((3-3)-(2-4))	33-24--
(6-(2-(5/1)))	6251/--
(9+(5+(0/4)))	9504/++
(1-((6+0)/5))	160+5/-
(0/(4/(0-7)))	0407-//
(5*(9-(5*6)))	5956*-*
(8+(8+(1+7)))	8817+++
((5+8)/(4/1))	58+41//
((8/0)-(6/7))	80/67/-
((1-9)+(8-0))	19-80-+
(6-(6-(1+8)))	6618+--
(5/(1+(0-7)))	5107-+/
(7*(8+(6/3)))	7863/+*
(0+(9+(4*9)))	0949*++
(3-(0/(9/5)))	3095//-
(1+(5/(7-0)))	1570-/+
(6*(9/(3/5)))	6935//*
(6-(5+(4*8)))	6548*+-
(5/(6+(2/4)))	5624/+/
(0-(8+(4-6)))	0846-+-
(4/(7/(4-9)))	4749-//
(0-(7-(3*0)))	0730*--
(2/(0*(9/7)))	2097/*/
(9+((6*6)/0))	966*0/+
((8-(0+9))*8)	809+-8*
(7/(0-(8*3)))	7083*-/
(4*(8-(9/7)))	4897/-*
(8*(3+(5/8)))	8358/+*
(6-(7/(8*3)))	6783*/-
((1*8)*(4/1))	18*41/*
(8*((5-7)/3))	857-3/*
(1-(8+(0-6)))	1806-+-
((0-7)/(5*8))	07-58*/
(4/(5-(0-3)))	4503--/
(0-(3/(9*3)))	0393*/-
(6-(2+(5+9)))	6259++-
(5*(0/(0/1)))	5001//*
(5/(6/(0*6)))	5606*//
(4-(5*(6+6)))	4566+*-
(8*(3+(1-1)))	8311-+*
(8/(1+(1/7)))	8117/+/
(5*((1/6)-5))	516/5-*
(9+(9/(0*4)))	9904*/+
(5*(8-(1*7)))	5817*-*
((9+7)/(6*9))	97+69*/
(0*(1*(8*6)))	0186***
(6*(0+(8*9)))	6089*+*
(4/(0-(3-1)))	4031--/
((3-0)+(8*4))	30-84*+
(4*(6-(3/5)))	4635/-*
(9/(6-(2/3)))	9623/-/
((4-6)-(9+5))	46-95+-
(8-((1/1)+9))	811/9+-
(3*(3*(2+8)))	3328+**
(3+(0/(0-1)))	3001-/+
(2-(6*(4*2)))	2642**-
(5*(3/(8*6)))	5386*/*
(1-(6*(4+3)))	1643+*-
(3/(8*(7+5)))	3875+*/
(9+(5/(0*4)))	9504*/+
(5-(6/(7-0)))	5670-/-
(3/(7+(7-1)))	3771-+/
(3*(3/(9-6)))	3396-/*
(2+(7-(5-2)))	2752--+
((4-2)*(5-2))	42-52-*
(9/(9/(6/8)))	9968///
(1*(2-(1*5)))	1215*-*
(0/(7*(3+2)))	0732+*/
(8-(7-(6/5)))	8765/--
(2*(3+(6*5)))	2365*+*
(3+(0+(3-4)))	3034-++
(4/((9-6)/5))	496-5//
((4*8)*(5*2))	48*52**
(7*(0-(5/6)))	7056/-*
(6/(0-(9+6)))	6096+-/
(3*(3*(4+4)))	3344+**
(9/(0+(2-7)))	9027-+/
(7-(2-(7*6)))	7276*--
(5/(0*(0/1)))	5001/*/
(7/(2+(6-0)))	7260-+/
(4*(0/(4/5)))	4045//*
(6+(3*(4*4)))	6344**+
((8-9)*(8/5))	89-85/*
(6-((6/4)*1))	664/1*-
(3-(0/(9/2)))	3092//-
(5+(7+(2*9)))	5729*++
(6*((9/7)/8))	697/8/*
(7*(8+(4+3)))	7843++*
(6+(9-(3*3)))	6933*-+
(1+(4+(4+9)))	1449+++
((1+0)/(6/9))	10+69//
((4+5)+(1/2))	45+12/+
(0-(4-(7/2)))	0472/--
((7+9)/(4-0))	79+40-/
((4-9)/(3*9))	49-39*/
(9-(9*(3*8)))	9938**-
((9-8)+(8-5))	98-85-+
(1-(1*(6/0)))	1160/*-
(2*(3-(3/7)))	2337/-*
(1*(8+(5/5)))	1855/+*
((9/3)*(5+7))	93/57+*
((0-1)-(0/1))	01-01/-
((7*8)/(6+9))	78*69+/
(6+(2/(8+7)))	6287+/+
(4*(9*(9+1)))	4991+**
(9/(6/(8+4)))	9684+//
(2/(1*(5/8)))	2158/*/
(4/(1-(0/9)))	4109/-/
(9*(7+(5*3)))	9753*+*
(7*(3+(2/9)))	7329/+*
(7*(9+(8*4)))	7984*+*
((7*(4+8))+3)	748+*3+
(1-(6*(3*3)))	1633**-
(3/((9*9)/4))	399*4//
(0+(0*(2+4)))	0024+*+
(0*(3*(0/4)))	0304/**
(6/((5+1)*9))	651+9*/
(8*(9/(2*4)))	8924*/*
(4+(9*(6/6)))	4966/*+
((6*6)*(6/1))	66*61/*
(4-(9-(1*6)))	4916*--
(1/(9*(8+3)))	1983+*/
((4-3)+(1+0))	43-10++
(1-(4*(5*6)))	1456**-
(6-(3+(9/3)))	6393/+-
(3*(1/(5-9)))	3159-/*
(1-(6-(4/4)))	1644/--
(9/(8-(2*4)))	9824*-/
(7-(2/(3-8)))	7238-/-
(9*((7+1)*6))	971+6**
((1+(9*0))+1)	190*+1+
((5*(5+6))-6)	556+*6-
((0+(1*6))+1)	016*+1+
((8+6)*(5*6))	86+56**
(3-(3*(9-6)))	3396-*-
((3*5)-(5-3))	35*53--
((1-(3/1))*5)	131/-5*
(7-((7-1)/8))	771-8/-
(7-(4/(9/1)))	7491//-
(6-(6-(1*2)))	6612*--
(9*(6-(6-1)))	9661--*
((9+9)-(0/7))	99+07/-
(5-(2*(8-7)))	5287-*-
(7/(5-(6/4)))	7564/-/
(9*(9/(5/6)))	9956//*
((6*8)*(2*7))	68*27**
(5-(5*(6/8)))	5568/*-
(8+(7+(4+9)))	8749+++
(5-(3/(4/0)))	5340//-
(1/(2-(8/6)))	1286/-/
(4-(0*(9*0)))	4090**-
(6*(3/(4-7)))	6347-/*
(1/(3/(8-3)))	1383-//
(7/(5/(4*9)))	7549*//
((0*0)/(8*9))	00*89*/
(2+(2-(8/2)))	2282/-+
(1-(0*(6+3)))	1063+*-
(7*(3-(8+8)))	7388+-*
(9+(3/(5-5)))	9355-/+
((2/4)/(4+8))	24/48+/
(5+(3+(6-8)))	5368-++
(8/(5*(6+0)))	8560+*/
(4+(8+(8/2)))	4882/++
((2-5)*(6/1))	25-61/*
(4+(3*(7+0)))	4370+*+
(4/(5/(9+4)))	4594+//
((8*3)/(0/0))	83*00//
(7*(2/(8-8)))	7288-/*
(3+(7/(2/3)))	3723//+
(0*(9*(1/7)))	0917/**
(0/(0*(1+8)))	0018+*/
(4/(4+(5*6)))	4456*+/
(8/(5*(2-8)))	8528-*/
(9+(8+(6*4)))	9864*++
(8+(2-(5+6)))	8256+-+
(5*(8+(9/9)))	5899/+*
(4-(9-(2+4)))	4924+--
(4+(0+(2/0)))	4020/++
(8+(9+(4/5)))	8945/++
(0+((3*8)/2))	038*2/+
((8+(6-5))-4)	865-+4-
((2+5)+(3/8))	25+38/+
(3-(7-(6+6)))	3766+--
(3*(4-(2+3)))	3423+-*
(7*(4*(3*5)))	7435***
((5-7)/(1+8))	57-18+/
(7/(3-(1-3)))	7313--/
(7-(0/(9*5)))	7095*/-
(6-(7+(2/3)))	6723/+-
(3-((7/7)-3))	377/3--
(2*(1-(4+3)))	2143+-*
(4-((4+5)-4))	445+4--
(2/(3/(6/0)))	2360///
((2+8)+(1*6))	28+16*+
(3+((2-2)*4))	322-4*+
(8*(6*(0-2)))	8602-**
(9*(7+(3+6)))	9736++*
(2*(0+(9/5)))	2095/+*
(5*(0-(8+9)))	5089+-*
(1/(7/(0+0)))	1700+//
((1*5)*(3-9))	15*39-*
(1/(8-(7*2)))	1872*-/
(3*(4-(5-2)))	3452--*
(9+(7/(0+5)))	9705+/+
((5/2)/(6+0))	52/60+/
(5-((7+5)*2))	575+2*-
(5+(4/(5/9)))	5459//+
(0+(5+(9+6)))	0596+++
(7-(9*(6*2)))	7962**-
(8-(4/(6*5)))	8465*/-
(7+(4*(4/2)))	7442/*+
((1*4)-(3/5))	14*35/-
(0+(7*(2+4)))	0724+*+
(7-(7+(1*6)))	7716*+-
(1*((6/6)/6))	166/6/*
(2+(8-(1-9)))	2819--+
(8*(2/(4+1)))	8241+/*
(3+(3*(1-1)))	3311-*+
(7*(9*(7*0)))	7970***
(1*(0/(9/4)))	1094//*
((4*0)/(7+4))	40*74+/
(4+(5/(3*4)))	4534*/+
(2/((0-7)-5))	207-5-/
(2*((2+0)*7))	220+7**
(8*(6*(8+1)))	8681+**
(4+(3/(4/2)))	4342//+
(8/((1*7)/3))	817*3//
(0+(6/(5-8)))	0658-/+
(3+((9/5)/7))	395/7/+
(7*(3-(4-1)))	7341--*
(6/(0-(0+9)))	6009+-/
(1*(8+(9/6)))	1896/+*
((2+5)*(8-7))	25+87-*
((4*(5/6))-9)	456/*9-
(7/((3+1)*8))	731+8*/
(1-(0*(9-4)))	1094-*-
((4+5)-(9/3))	45+93/-
(8+((6-3)/0))	863-0/+
(1*(6/(7-9)))	1679-/*
((4-5)+(5*8))	45-58*+
(0/(6/(6*4)))	0664*//
(7/((7/4)+0))	774/0+/
(4/(0/(4-4)))	4044-//
((3+1)/(9*2))	31+92*/
(6-(6+(8*5)))	6685*+-
(7+(2+(2/1)))	7221/++
((3*1)*(7*7))	31*77**
(9/(4-(9/2)))	9492/-/
(7-((9/5)*5))	795/5*-
((0+4)+(9-8))	04+98-+
((4/0)/(2+5))	40/25+/
(2+(8*(2-2)))	2822-*+
(4-(2/(3-9)))	4239-/-
(1-(2-(9*0)))	1290*--
(0*(1-(4/4)))	0144/-*
(8*(2/(4/7)))	8247//*
((7-4)-(8*3))	74-83*-
(4+(4*(7+7)))	4477+*+
(3+(2*(7/7)))	3277/*+
((5+1)+(8/4))	51+84/+
(0+((2/0)*7))	020/7*+
(2*(0*(1/3)))	2013/**
(8-((9/3)/5))	893/5/-
(8-(3+(2/6)))	8326/+-
(7-(8*(4+2)))	7842+*-
(4-(6-(7-2)))	4672---
(9*(0-(2/0)))	9020/-*
(1-((8+5)*1))	185+1*-
(6+(1+(6/3)))	6163/++
(1+(7-(9*7)))	1797*-+
(6*(5+(8/4)))	6584/+*
(7+(5+(6*7)))	7567*++
(3-(5+(0-5)))	3505-+-
(8-(8*(0+1)))	8801+*-
((1/8)*(0/2))	18/02/*
(7/(8-(9+1)))	7891+-/
(7+(5+(5/6)))	7556/++
(7*((8+6)-0))	786+0-*
((5/5)*(4-4))	55/44-*
(4*(8*(0+4)))	4804+**
((1-1)/(5+9))	11-59+/
(1*(0/(3*4)))	1034*/*
(6*(2/(4*8)))	6248*/*
(1+(8+(0-1)))	1801-++
((2*3)+(4/4))	23*44/+
(4/(0*(8/2)))	4082/*/
(1/(3-(2-4)))	1324--/
(5*(8/(3/3)))	5833//*
((5-7)+(4-1))	57-41-+
(8+(1/(1/6)))	8116//+
(5-(8*(8*0)))	5880**-
(3*(3/(7*0)))	3370*/*
(7+(1+(0*1)))	7101*++
((6*9)*(9+6))	69*96+*
(8-(8/(0-7)))	8807-/-
((3/6)*(3*9))	36/39**
(0-((7/0)+0))	070/0+-
(9+(4/(8+8)))	9488+/+
(0+(0+(9/5)))	0095/++
(8-(8-(9-8)))	8898---
(7-(7/(1*6)))	7716*/-
(1*(1+(9+7)))	1197++*
(5+((0*8)-3))	508*3-+
(0*(2*(0-7)))	0207-**
((8/2)+(3*4))	82/34*+
((8/4)/(7-9))	84/79-/
(6/((0+1)*0))	601+0*/
(1+(4-(9/6)))	1496/-+
((9-4)+(2/9))	94-29/+
(8/(2-(7-6)))	8276--/
((6-5)*(4+7))	65-47+*
(2-(6*(7/6)))	2676/*-
(7+(5-(5-0)))	7550--+
(6*(2*(4/6)))	6246/**
(2/(7*(7+4)))	2774+*/
(6-(3/(4/8)))	6348//-
(3+(8/(9-9)))	3899-/+
((1+0)/(0*6))	10+06*/
(0-(6-(6-5)))	0665---
(3*(5-(4+7)))	3547+-*
(1+(1+(8-5)))	1185-++
(3-(6-(1+6)))	3616+--
(7/((1*7)/6))	717*6//
(0/(8+(3-5)))	0835-+/
((4/(5+2))-2)	452+/2-
(5+(6*(0*0)))	5600**+
(6/(8-(6*9)))	6869*-/
(2*(8-(1+4)))	2814+-*
(3-(5-(2*2)))	3522*--
(8+((8*9)-8))	889*8-+
((5-(9*8))/5)	598*-5/
((3+4)*(3+1))	34+31+*
(7*((0/4)/5))	704/5/*
((7*3)/(1-4))	73*14-/
(8/(8/(7/8)))	8878///
((4+7)*(6-0))	47+60-*
(6*(6-(3-5)))	6635--*
(7*(1-(7/5)))	7175/-*
(6*(7+(2*9)))	6729*+*
(6/(9*(7-8)))	6978-*/
((5*1)+(2+5))	51*25++
(3*(1-(2/8)))	3128/-*
(0-(3*(1-7)))	0317-*-
(9*(1/(1*9)))	9119*/*
(2+(7/(1/6)))	2716//+
(8*(1*(9-3)))	8193-**
((3+6)-(7+6))	36+76+-
(9/(8-(8*8)))	9888*-/
(4+(0-(0*2)))	4002*-+
((1*7)-(1/5))	17*15/-
(8-((4*0)*1))	840*1*-
(3-(1-(1+2)))	3112+--
(0-(4/(3-0)))	0430-/-
(3+(3+(1/0)))	3310/++
(5+(1-(4/7)))	5147/-+
(6*(7+(0-5)))	6705-+*
((5*7)-(6+7))	57*67+-
((5-5)*(4-2))	55-42-*
(8*(4/(6*2)))	8462*/*
(1/(6+(0-9)))	1609-+/
(4*(8/(4+6)))	4846+/*
(3+(3*(9/8)))	3398/*+
(6*(7+(9/1)))	6791/+*
(7-(4*(8*1)))	7481**-
(3+(7/(9/0)))	3790//+
(2/(2*(0*3)))	2203**/
(5/(0/(2/0)))	5020///
((4*0)-(8+1))	40*81+-
(4-(6*(6/3)))	4663/*-
((0*9)+(9-9))	09*99-+
((1-5)+(8*8))	15-88*+
(0-(1+(8+2)))	0182++-
(6-(9+(9+2)))	6992++-
((8-(2+7))+0)	827+-0+
(4+(7/(5-6)))	4756-/+
(0*(6*(7-2)))	0672-**
(3*(3-(2-1)))	3321--*
(5+((4+0)-4))	540+4-+
((4*0)-(4+1))	40*41+-
((5*5)+(0+3))	55*03++
(5*(3/(8/6)))	5386//*
(5+((0/0)+1))	500/1++
(2-(7-(3-8)))	2738---
(6*(7*(5-5)))	6755-**
(4-(1-(8/6)))	4186/--
((0/7)-(2*8))	07/28*-
(7*(5*(2*1)))	7521***
((6+3)/(6-2))	63+62-/
(7+((3+3)*0))	733+0*+
(2-(5+(5*9)))	2559*+-
(3-((2*0)*3))	320*3*-
((1*5)*(7-4))	15*74-*
(3*((9+1)+3))	391+3+*
(0*(5*(7+5)))	0575+**
(7-((8-2)*3))	782-3*-
(0*(7-(7*9)))	0779*-*
(8+((8/6)+1))	886/1++
(2+(8*(4/3)))	2843/*+
((8*0)-(4/7))	80*47/-
(8-(3-(9/9)))	8399/--
((7/6)/(4-5))	76/45-/
(1+(0-(1-3)))	1013--+
(3-(1-(4*2)))	3142*--
((6+7)/(5*6))	67+56*/
(1-(6-(9-9)))	1699---
(2+(5/(8+6)))	2586+/+
(1*(6*(4/5)))	1645/**
((6-7)*(1-9))	67-19-*
((4+3)/(9+4))	43+94+/
(2+((3+3)*1))	233+1*+
((3*5)/(7-6))	35*76-/
((4+6)*(5+3))	46+53+*
(3+(7+(2/1)))	3721/++
(0+((2-3)/2))	023-2/+
(6-(6/(1+0)))	6610+/-
((4-6)-(8/6))	46-86/-
(8*(8-(6+8)))	8868+-*
(5*(0-(5-8)))	5058--*
(0/((6+3)*0))	063+0*/
(1+(5/(2*5)))	1525*/+
(6/(8-(5-9)))	6859--/
(5+((0-5)+9))	505-9++
(1/(7+(1/2)))	1712/+/
(3/(8*(1*5)))	3815**/
(4-(1*(3+3)))	4133+*-
(4+(8/(7+9)))	4879+/+
((7-4)/(5-6))	74-56-/
(1-((2-2)+3))	122-3+-
(6/(9-(9*3)))	6993*-/
(5+(1+(5*4)))	5154*++
(7+((5*9)-5))	759*5-+
(0*(9/(4+3)))	0943+/*
(9+(7-(0-7)))	9707--+
((9/5)-(3/0))	95/30/-
(7+((2/7)+4))	727/4++
(4/(8/(3-8)))	4838-//
(0+(6+(3+1)))	0631+++
(2*((4+4)+6))	244+6+*
(7+(8*(1+4)))	7814+*+
(2*(6/(6/0)))	2660//*
(7*(0+(7-5)))	7075-+*
(4/(1+(2/3)))	4123/+/
((3-5)+(5-0))	35-50-+
(5+(4/(2+5)))	5425+/+
(1*(1+(8/2)))	1182/+*
(3+(9+(4/0)))	3940/++
((5+(2+3))+7)	523++7+
((2-(0*1))/0)	201*-0/
(4-(6/(9*7)))	4697*/-
(1*(5/(8*1)))	1581*/*
(2-(1/(7-1)))	2171-/-
(6-(1+(4+1)))	6141++-
((6+9)-(3+9))	69+39+-
((7*7)*(1+3))	77*13+*
(3*(0+(5-3)))	3053-+*
(8+(6/(2*7)))	8627*/+
(2*(3-(9/7)))	2397/-*
((5+1)*(7-8))	51+78-*
(1+(4*(2*0)))	1420**+
(6*(9+(2*2)))	6922*+*
(3+(7+(6+7)))	3767+++
((7*8)/(7/6))	78*76//
(8-(5-(7-1)))	8571---
(9*(6/(8/9)))	9689//*
(2-(0/(8-5)))	2085-/-
(7/(0-(2-9)))	7029--/
(1-(9-(1*5)))	1915*--
(6*(8-(0+5)))	6805+-*
(0+((4+8)-6))	048+6-+
(8+(2+(7-9)))	8279-++
((7+9)/(7+1))	79+71+/
(5+(0*(5*0)))	5050**+
(5-(9-(2-2)))	5922---
(4/(6+(5-3)))	4653-+/
(6*(8+(3+3)))	6833++*
(8-(5*(5*8)))	8558**-
(7/(2+(8/2)))	7282/+/
(6*(2*(2/2)))	6222/**
((0+5)+(1+5))	05+15++
(9+((1/9)/3))	919/3/+
((5/6)*(1/2))	56/12/*
(5/(7-(1+7)))	5717+-/
(5-((2-3)/9))	523-9/-
((0*6)/(7-7))	06*77-/
(6*(0-(2*0)))	6020*-*
(5*(7+(3/1)))	5731/+*
(1-(3*(7*6)))	1376**-
(0*(5+(1+0)))	0510++*
((8*(9-6))*4)	896-*4*
(0*(6/(5*0)))	0650*/*
(9/((3-7)/8))	937-8//
(0-((5*0)+4))	050*4+-
(7*(1*(1*2)))	7112***
(6/(4/(0*6)))	6406*//
(0/(7/(7-7)))	0777-//
(9*(0/(9/2)))	9092//*
(8+(7/(7-1)))	8771-/+
(2-(3/(0*6)))	2306*/-
(9/(8-(5/5)))	9855/-/
(2/(5/(8/2)))	2582///
((9/7)-(1-8))	97/18--
(1/(7+(5-3)))	1753-+/
(8*(5*(6-3)))	8563-**
(2*((6/4)*5))	264/5**
(7+(8+(6/7)))	7867/++
(7-(0/(0-5)))	7005-/-
((3-1)-(4/3))	31-43/-
(1*(6*(5+9)))	1659+**
(0/(4+(6-5)))	0465-+/
(7+(9-(1/2)))	7912/-+
(9-(3+(9-1)))	9391-+-
(3*(2+(2/6)))	3226/+*
(2/(1/(6-9)))	2169-//
(6*(4/(3+3)))	6433+/*
(8+(7/(1+8)))	8718+/+
(0-(4*(8*0)))	0480**-
((9+8)*(3*1))	98+31**
(0*(0-(5-0)))	0050--*
(4/(4-(8-3)))	4483--/
(7/((1/7)-1))	717/1-/
((4-8)/(8*4))	48-84*/
(7*(8*(3-6)))	7836-**
((5+4)/(9/2))	54+92//
(1+((0+4)/1))	104+1/+
(5/(6*(9+3)))	5693+*/
(1+(9/(7*2)))	1972*/+
(7+(2*(1/7)))	7217/*+
(6*(1+(9/0)))	6190/+*
(5/((3+4)*3))	534+3*/
((6/9)/(4*0))	69/40*/
((7-7)/(6-1))	77-61-/
(3/((7-2)-2))	372-2-/
(5-(4/(9*1)))	5491*/-
(4/((4*3)*7))	443*7*/
(4*(0-(7+8)))	4078+-*
(5-(6*(8+7)))	5687+*-
(7/((7+1)+1))	771+1+/
(5-(0*(2-2)))	5022-*-
(8+(0+(9/9)))	8099/++
(1-(7+(5*2)))	1752*+-
(9-(2*(1*3)))	9213**-
(9-((2-3)/2))	923-2/-
((3-3)/(2+6))	33-26+/
((7*9)-(8*4))	79*84*-
(1*(1*(2/2)))	1122/**
(2-(1+(8*8)))	2188*+-
(5-((5/4)/4))	554/4/-
(7*(0*(1*5)))	7015***
((6-4)/(5*0))	64-50*/
(5*(5-(9+2)))	5592+-*
((1-(4*4))/7)	144*-7/
((7/3)/(8*7))	73/87*/
(3*(4/(3+8)))	3438+/*
(7-(9+(5/6)))	7956/+-
(9*((0/8)-6))	908/6-*
(4*(7/(4/6)))	4746//*
(5+(5+(7*6)))	5576*++
((2*6)*(8-1))	26*81-*
(5/(1-(7/7)))	5177/-/
(9-(1*(4/1)))	9141/*-
(9-(6*(3/3)))	9633/*-
(0+(1*(4/7)))	0147/*+
(7-(7+(7/8)))	7778/+-
(6-(3/(5+6)))	6356+/-
(0+(7-(0*4)))	0704*-+
(6*(8/(2*5)))	6825*/*
((6-5)+(2*2))	65-22*+
(3*(7/(2*6)))	3726*/*
(0+(0/(4+9)))	0049+/+
(6+(2*(1-9)))	6219-*+
(6+(3-(1+0)))	6310+-+
(0/((9-6)*4))	096-4*/
(5/(5/(7-7)))	5577-//
((8+2)-(3+3))	82+33+-
(5+(5-(6*9)))	5569*-+
(4+(0/(6-2)))	4062-/+
(6-(3-(7+4)))	6374+--
((9*1)/(7+2))	91*72+/
(2/(3/(3*6)))	2336*//
(0*(7-(7-0)))	0770--*
(4*((5*2)/8))	452*8/*
(0-(3+(8+3)))	0383++-
((6-1)-(9+7))	61-97+-
(9-((1/0)-4))	910/4--
(8/(0/(5/3)))	8053///
((6*1)+(4-4))	61*44-+
(9+((5+8)/2))	958+2/+
(3*(5-(8-1)))	3581--*
((3-3)-(7*7))	33-77*-
(6-(4/(2-5)))	6425-/-
(4*(4*(5-1)))	4451-**
(7-(1-(1/1)))	7111/--
(9-(9/(7+0)))	9970+/-
(1+(8+(2*6)))	1826*++
((9*8)/(0-4))	98*04-/
(3-((0+9)-6))	309+6--
(8*(6+(5-9)))	8659-+*
(4+((8*3)-7))	483*7-+
(6-(1-(7*4)))	6174*--
(8-(2*(2-1)))	8221-*-
((7-2)*(6*9))	72-69**
(2+(6+(5/2)))	2652/++
(8-((6+1)-1))	861+1--
(9*(5-(3-0)))	9530--*
(2/(5-(3*4)))	2534*-/
(9/(1+(5*9)))	9159*+/
((9+(8*4))*7)	984*+7*
(5+(6+(3*6)))	5636*++
(9+(8-(9+9)))	9899+-+
(2/((7*3)/6))	273*6//
(2+(0/(0+8)))	2008+/+
(6*(5/(7-3)))	6573-/*
(6*(0+(3-6)))	6036-+*
((8+2)*(0-8))	82+08-*
(1/(6-(6+9)))	1669+-/
((6-4)/(8*3))	64-83*/
(4*(7-(5*5)))	4755*-*
(1*(2*(7/9)))	1279/**
(8*((7+7)/6))	877+6/*
(2+(9/(5-3)))	2953-/+
(4/((6+1)*3))	461+3*/
(3*(6-(3*8)))	3638*-*
(2/(0/(8*6)))	2086*//
(9/(5*(8/5)))	9585/*/
(8-(2-(7/1)))	8271/--
(6+(8+(9-2)))	6892-++
(1+(6/(3/2)))	1632//+
(3+(1-(8*3)))	3183*-+
(7-(7/(6+7)))	7767+/-
(0*(5*(9*5)))	0595***
(6+(0*(5/7)))	6057/*+
(0-(0+(5/1)))	0051/+-
(9+(6+(0*7)))	9607*++
((0-3)-(0+6))	03-06+-
(7/(1-(3-6)))	7136--/
(9/(4+(8-0)))	9480-+/
(2*(9*(3+2)))	2932+**
(8+((3-3)*0))	833-0*+
(7-(8*(9*9)))	7899**-
(9/(4*(4/6)))	9446/*/
(8+(5*(2*5)))	8525**+
(4-((1-8)-3))	418-3--
(7*(2+(2*5)))	7225*+*
(1+(3+(5/2)))	1352/++
(3*(1-(1-3)))	3113--*
(3*((1+6)-9))	316+9-*
