((3-0)/8)	30-8/
(3/(4/4))	344//
((1*7)*2)	17*2*
((9-9)*4)	99-4*
(3-(5-0))	350--
((9+7)+4)	97+4+
(6*(5/0))	650/*
((4*4)/1)	44*1/
((7+5)*8)	75+8*
(0/(4+9))	049+/
(8+(5*5))	855*+
((6*6)+1)	66*1+
((3*4)*9)	34*9*
((9/0)-9)	90/9-
((4*3)/5)	43*5/
((5+1)/9)	51+9/
((0*4)+5)	04*5+
(5+(0-0))	500-+
((7+1)/8)	71+8/
(7+(0*7))	707*+
((4/1)/1)	41/1/
((8-9)+8)	89-8+
((2*6)-3)	26*3-
((9/4)*7)	94/7*
(6*(5*7))	657**
(9/(4-5))	945-/
((0-3)*6)	03-6*
((3*8)-2)	38*2-
((1/3)+4)	13/4+
(0*(3*9))	039**
((8+0)*2)	80+2*
(5*(1-3))	513-*
(5+(8/9))	589/+
((9-2)+3)	92-3+
(1-(4+0))	140+-
((9/9)/2)	99/2/
((8*5)*3)	85*3*
(2+(5-4))	254-+
(5-(5/9))	559/-
(1*(9+3))	193+*
(2/(7+4))	274+/
(7*(7+2))	772+*
(3+(8-7))	387-+
(4+(0*9))	409*+
((4*3)+6)	43*6+
(5+(2*9))	529*+
(6+(1-1))	611-+
((3/3)/6)	33/6/
(2+(4/2))	242/+
((6-9)-0)	69-0-
((7*5)*3)	75*3*
(7+(1+9))	719++
(5/(5/7))	557//
(8*(3/2))	832/*
(2-(8-4))	284--
(2*(1-6))	216-*
(2-(4-8))	248--
(1/(0-5))	105-/
((5-8)*2)	58-2*
((4*6)/1)	46*1/
(9+(0*2))	902*+
(4/(9-7))	497-/
(8*(3-5))	835-*
((5+1)+1)	51+1+
((7/7)-5)	77/5-
(6-(8+5))	685+-
(9*(3/9))	939/*
(2/(0*8))	208*/
((6+1)/7)	61+7/
(5+(8/4))	584/+
(6/(2/5))	625//
(9*(3-4))	934-*
((4*7)*3)	47*3*
((6-1)-7)	61-7-
(2*(6+3))	263+*
((6+5)+4)	65+4+
(7+(9-2))	792-+
(6-(0-7))	607--
((3-1)*0)	31-0*
(2+(0/4))	204/+
((3+3)-6)	33+6-
((5*2)+8)	52*8+
(3*(3-4))	334-*
(7/(3*2))	732*/
(8*(7+5))	875+*
(9-(4+8))	948+-
(8-(1/0))	810/-
(5-(1-0))	510--
(1/(4*6))	146*/
((9-9)/8)	99-8/
(0-(0/1))	001/-
((6*3)/8)	63*8/
(4/(1+3))	413+/
((2-5)*8)	25-8*
((7+0)*1)	70+1*
((9/7)*4)	97/4*
(4-(9-8))	498--
((5/2)/6)	52/6/
(7*(1/2))	712/*
(3-(1/0))	310/-
(8/(8*9))	889*/
(6*(8/3))	683/*
((7+5)/8)	75+8/
(8/(7+0))	870+/
(1/(9*2))	192*/
(8+(2*9))	829*+
(1/(8/8))	188//
((2+9)+9)	29+9+
((2*3)/3)	23*3/
((7+1)*3)	71+3*
(8+(6*5))	865*+
((1/9)/5)	19/5/
(3*(3/8))	338/*
(9+(9*5))	995*+
((2-4)/8)	24-8/
(1-(6/0))	160/-
(6+(3*3))	633*+
(6-(6+3))	663+-
((1+9)/2)	19+2/
((3*4)/3)	34*3/
(3*(0*9))	309**
(8/(8/9))	889//
(2*(9-1))	291-*
(3*(6/0))	360/*
((6-8)-6)	68-6-
(1+(1-4))	114-+
(6-(9*9))	699*-
((8-1)-9)	81-9-
((1/8)-9)	18/9-
((1+3)/2)	13+2/
((7-3)-1)	73-1-
(6-(6*9))	669*-
((2*1)*9)	21*9*
(5+(3+8))	538++
(6+(1/9))	619/+
(9*(9/8))	998/*
((6+6)/0)	66+0/
(6+(8-6))	686-+
(8*(1+7))	817+*
((9-9)-1)	99-1-
((3-5)-8)	35-8-
(8/(4+1))	841+/
(4*(2-2))	422-*
(1/(5*4))	154*/
(6-(9+6))	696+-
((0*6)-7)	06*7-
(9-(3/6))	936/-
(0*(9/2))	092/*
(5-(7+4))	574+-
(4*(4-9))	449-*
((6/1)-2)	61/2-
((5+7)+4)	57+4+
((9/4)-9)	94/9-
((2+0)+7)	20+7+
((2*6)*4)	26*4*
(5-(8-1))	581--
(8-(5*0))	850*-
(2*(9/2))	292/*
(4/(0*3))	403*/
(2+(4*5))	245*+
(1*(0*0))	100**
((0+0)/8)	00+8/
(5+(8/1))	581/+
(0*(9-8))	098-*
(9*(0*3))	903**
((6+1)+0)	61+0+
(5-(4+9))	549+-
((8+7)-0)	87+0-
(0+(2*7))	027*+
(9/(2/1))	921//
((1/3)/0)	13/0/
((3*7)*4)	37*4*
(1*(7+8))	178+*
(8+(3+5))	835++
(9*(5*1))	951**
(8+(4/8))	848/+
((3-6)/2)	36-2/
(5*(3/8))	538/*
(7+(0/7))	707/+
(2-(6-7))	267--
((3+6)*4)	36+4*
((9*3)/8)	93*8/
((1+6)+2)	16+2+
(4+(3*5))	435*+
((6+3)-3)	63+3-
((8*6)*5)	86*5*
((1/5)/3)	15/3/
(9-(5*6))	956*-
(4+(5*3))	453*+
((6-6)+4)	66-4+
((2+5)+1)	25+1+
(9/(9/4))	994//
(2-(6/2))	262/-
(4+(7/6))	476/+
(2+(2/7))	227/+
((4+1)-3)	41+3-
((8*3)-6)	83*6-
(6-(8*2))	682*-
(9-(7/9))	979/-
((7/0)/2)	70/2/
(3*(1*1))	311**
(8/(5*9))	859*/
((1-8)+3)	18-3+
(3+(5-1))	351-+
(5-(2*4))	524*-
(2*(9+4))	294+*
(2-(2/3))	223/-
(7-(1/5))	715/-
((3*7)-5)	37*5-
(1-(9-2))	192--
((0*7)*4)	07*4*
(5-(8-6))	586--
(1+(6-9))	169-+
((9+6)*6)	96+6*
((1/1)/3)	11/3/
(6+(4+2))	642++
(6/(3/0))	630//
((7-0)+5)	70-5+
(2*(8*1))	281**
(8-(8-1))	881--
(1/(4*6))	146*/
((4-5)+1)	45-1+
(5*(1*6))	516**
(3*(9/2))	392/*
(0/(1/8))	018//
(0*(4*1))	041**
((0/1)*1)	01/1*
(1-(9+9))	199+-
(7/(1/2))	712//
(0/(4*2))	042*/
(2*(3/1))	231/*
(7-(5*5))	755*-
(0*(9+6))	096+*
(2/(1-5))	215-/
(9*(9*8))	998**
(1/(5/2))	152//
(3/(4+5))	345+/
(0*(8*4))	084**
(3+(1+0))	310++
(9*(4/8))	948/*
((9*9)+7)	99*7+
(1-(2-6))	126--
(7/(2/7))	727//
((5+7)-3)	57+3-
((0/2)+4)	02/4+
((0/3)-0)	03/0-
(0-(7/7))	077/-
(6-(9+6))	696+-
(8-(0/3))	803/-
(1/(7*5))	175*/
(4/(1*8))	418*/
(3-(1/2))	312/-
(6-(2/7))	627/-
(5*(0-3))	503-*
(8+(8-7))	887-+
(9-(8*8))	988*-
(5/(9*8))	598*/
(2/(3*5))	235*/
(7*(1/3))	713/*
(8+(6+4))	864++
((5+0)+5)	50+5+
(1*(4+8))	148+*
(1/(1/1))	111//
(2/(1+1))	211+/
(9-(9-7))	997--
(9+(6-6))	966-+
((6/8)*3)	68/3*
((6*8)-7)	68*7-
((0/9)/7)	09/7/
(6*(5/4))	654/*
((3-2)/8)	32-8/
(5-(7-0))	570--
((1-0)*6)	10-6*
(5-(4*6))	546*-
(4*(1/1))	411/*
((7*0)/5)	70*5/
((5+5)-0)	55+0-
(0/(1-0))	010-/
(6+(6*3))	663*+
(7/(3/3))	733//
((2+5)+0)	25+0+
(8*(1-4))	814-*
((0-8)*2)	08-2*
((1/6)-3)	16/3-
((5-6)/5)	56-5/
((0-4)+7)	04-7+
((6/2)+3)	62/3+
((8*3)-2)	83*2-
(9*(4+0))	940+*
(0-(9+9))	099+-
(7*(0*6))	706**
((9-2)/9)	92-9/
((5+6)/2)	56+2/
((4/8)-1)	48/1-
(3*(1/2))	312/*
((3/9)*0)	39/0*
((3/2)*0)	32/0*
(0*(8+5))	085+*
(1-(2-5))	125--
(7+(3/4))	734/+
((5-1)/5)	51-5/
(1*(3-8))	138-*
(6+(6-0))	660-+
((2+5)+3)	25+3+
((4+5)/3)	45+3/
(7/(1+5))	715+/
((0/4)+3)	04/3+
((6+4)+4)	64+4+
(8/(7-8))	878-/
((6*5)*3)	65*3*
(9+(8/4))	984/+
(7*(5*6))	756**
(7+(2/1))	721/+
(1/(8*6))	186*/
(9*(8*6))	986**
((4-1)/9)	41-9/
(2*(5-4))	254-*
((0+0)-4)	00+4-
(3+(8-9))	389-+
((2+2)+9)	22+9+
((9*7)*7)	97*7*
(5/(6-0))	560-/
((9/4)+2)	94/2+
((2*8)-8)	28*8-
(7*(4*4))	744**
(3*(5*6))	356**
(2*(0-5))	205-*
(9*(2*2))	922**
(9/(8/8))	988//
((8+1)/9)	81+9/
(4+(2*7))	427*+
(9*(9/4))	994/*
(4*(2-1))	421-*
(4*(4/8))	448/*
(9-(6/9))	969/-
(7-(5+2))	752+-
((4-1)*2)	41-2*
((2-8)-3)	28-3-
(3*(1-9))	319-*
(9+(4-8))	948-+
(9+(9*1))	991*+
((0+2)*8)	02+8*
((3+4)-7)	34+7-
(9+(0-3))	903-+
(5+(6/4))	564/+
(5+(4/5))	545/+
((8-7)/5)	87-5/
((3*6)-8)	36*8-
(4-(0*3))	403*-
(1*(7*7))	177**
(3-(9-7))	397--
(7/(2*3))	723*/
(5-(1*2))	512*-
((5-3)-7)	53-7-
(5+(5-5))	555-+
(2+(9/1))	291/+
((8*1)-6)	81*6-
((0+9)/1)	09+1/
(7/(6-3))	763-/
((6*3)/6)	63*6/
(0/(6-9))	069-/
(0-(9*3))	093*-
((4+4)*4)	44+4*
((4*2)/2)	42*2/
((8*5)+6)	85*6+
(8/(4-0))	840-/
((4-9)-1)	49-1-
(0-(6+5))	065+-
((3*2)/8)	32*8/
(3/(7*9))	379*/
(9/(6*9))	969*/
(0/(9-8))	098-/
(4-(3+8))	438+-
((6/7)*6)	67/6*
((8*2)+0)	82*0+
((4*0)*7)	40*7*
(4-(4+7))	447+-
(4-(7*4))	474*-
((8+3)/5)	83+5/
(3-(3*8))	338*-
((8-3)*4)	83-4*
(1*(4*3))	143**
(7*(1/6))	716/*
(5*(3*5))	535**
(5-(9*1))	591*-
(9+(7+6))	976++
(8/(2-1))	821-/
((0/1)/6)	01/6/
((2+7)/0)	27+0/
((7*5)+8)	75*8+
(4+(4-0))	440-+
(0*(5-6))	056-*
(0/(4/4))	044//
((9/3)/8)	93/8/
(4*(9-1))	491-*
(5*(9-3))	593-*
(4*(6-5))	465-*
((7/2)-9)	72/9-
(9/(8*3))	983*/
(1+(3-1))	131-+
(8*(8/0))	880/*
(4*(0-4))	404-*
(7-(0+4))	704+-
((7-7)+2)	77-2+
(2*(8/4))	284/*
(6+(4+0))	640++
((1-5)-9)	15-9-
(5*(9*6))	596**
(9/(1-9))	919-/
(4*(7/7))	477/*
(6+(3*1))	631*+
(9/(8+1))	981+/
(8+(8*4))	884*+
(4*(3-8))	438-*
((4-6)*6)	46-6*
(3/(4*1))	341*/
((0*5)-0)	05*0-
((4-3)*4)	43-4*
((7-8)+5)	78-5+
(3/(7-2))	372-/
((8-8)/9)	88-9/
(7*(5*2))	752**
(5-(8/7))	587/-
(1*(1+0))	110+*
((6*5)/5)	65*5/
((6*8)*9)	68*9*
((8-5)/6)	85-6/
(2+(2/1))	221/+
(7-(0+0))	700+-
(8/(1+4))	814+/
((0/6)-7)	06/7-
(7-(7+8))	778+-
(5+(6-3))	563-+
(5+(0+0))	500++
(4-(9-8))	498--
((5*2)-0)	52*0-
(0*(2+9))	029+*
(4/(7+6))	476+/
((8*8)*3)	88*3*
(9*(1*8))	918**
((9+7)-6)	97+6-
(4-(9*0))	490*-
(5/(5+6))	556+/
(9+(8/4))	984/+
(5-(8/3))	583/-
(8+(0-1))	801-+
((7+8)-5)	78+5-
((0*9)-7)	09*7-
(1+(7*3))	173*+
(8*(1+1))	811+*
((3-5)*6)	35-6*
(4*(3*4))	434**
(4+(6+7))	467++
((1*4)-4)	14*4-
((8/7)*4)	87/4*
((5-9)-8)	59-8-
(9*(3-2))	932-*
((4/5)/8)	45/8/
(3+(7/2))	372/+
((3-5)/2)	35-2/
((3-5)/9)	35-9/
((7*2)+3)	72*3+
(9/(9-1))	991-/
(3/(8/5))	385//
(6/(9*5))	695*/
(0*(3-3))	033-*
(5+(8-8))	588-+
((5/5)*7)	55/7*
(5*(5/2))	552/*
(7*(7*8))	778**
((9*6)-7)	96*7-
(8+(0/2))	802/+
(1-(3*4))	134*-
((7*0)/6)	70*6/
(2/(7+5))	275+/
((8-3)+3)	83-3+
((0-4)+4)	04-4+
(6+(3/7))	637/+
((0*4)+0)	04*0+
(3+(6-5))	365-+
((5/3)*9)	53/9*
(9/(0/9))	909//
(9-(6+4))	964+-
(1*(4-4))	144-*
(0-(0*3))	003*-
((3-0)/6)	30-6/
(4+(2/1))	421/+
(6/(6*9))	669*/
(0+(1-2))	012-+
(9/(6-3))	963-/
((9*7)/0)	97*0/
((7-1)-1)	71-1-
((5/9)*7)	59/7*
((1/1)*4)	11/4*
((6*5)-6)	65*6-
(1+(8-2))	182-+
((4*9)*7)	49*7*
(8*(8-5))	885-*
(3/(0+6))	306+/
(3/(2/9))	329//
(0+(2+0))	020++
(7/(4+9))	749+/
((5+6)*2)	56+2*
(2+(2*0))	220*+
((6-2)-0)	62-0-
(5+(3/5))	535/+
((4*7)-4)	47*4-
((2*2)-3)	22*3-
(3+(1/7))	317/+
(8-(9+5))	895+-
(2+(1*3))	213*+
(8/(6+8))	868+/
((8*7)/3)	87*3/
((6/5)+2)	65/2+
((8/0)*3)	80/3*
(9*(0-8))	908-*
((9/1)*7)	91/7*
(7+(2/3))	723/+
(5-(4/5))	545/-
((1/2)+3)	12/3+
((5/8)+0)	58/0+
(5-(4*3))	543*-
((1*0)-6)	10*6-
(7*(4/5))	745/*
(4/(6+8))	468+/
(5*(4/4))	544/*
(3*(2+9))	329+*
((7-1)-0)	71-0-
(6+(2/2))	622/+
(3/(3*0))	330*/
((7*5)-0)	75*0-
((9-8)*7)	98-7*
((8+4)-8)	84+8-
((5+0)+7)	50+7+
(0*(5*9))	059**
(4+(0*4))	404*+
((2/8)/7)	28/7/
(4/(6+4))	464+/
(7-(2*9))	729*-
((8+4)*3)	84+3*
(4+(4-8))	448-+
(2+(4/0))	240/+
(3*(3/9))	339/*
((1/0)/2)	10/2/
(2*(9+3))	293+*
(3+(8/0))	380/+
(3*(2/1))	321/*
(7+(4/3))	743/+
((7/0)+1)	70/1+
((0*5)*9)	05*9*
((7*9)*3)	79*3*
(5/(9/1))	591//
((3*0)/5)	30*5/
((2-0)/0)	20-0/
((6-9)+4)	69-4+
(4*(6/6))	466/*
((2*9)-9)	29*9-
(6*(4-7))	647-*
(3*(3/2))	332/*
((8-7)/9)	87-9/
(2*(7-6))	276-*
((4/0)-3)	40/3-
((2*1)/2)	21*2/
((8-9)/6)	89-6/
(2-(4+4))	244+-
(4*(6*5))	465**
(3-(1-9))	319--
(3-(5/9))	359/-
(9-(8+8))	988+-
(2+(0+6))	206++
(2*(6*4))	264**
((7*7)/6)	77*6/
((6/9)*3)	69/3*
(2+(4+9))	249++
((5+7)/2)	57+2/
(5/(2-4))	524-/
(2-(8/0))	280/-
(2*(2-0))	220-*
(6-(7+6))	676+-
(7+(9*0))	790*+
(1-(9+0))	190+-
((6+7)*4)	67+4*
((1*0)+3)	10*3+
((4+2)*4)	42+4*
((7-7)/3)	77-3/
(3-(2/5))	325/-
(0+(1+3))	013++
(6*(7/6))	676/*
(0+(6*0))	060*+
(0+(4+4))	044++
(5/(1*0))	510*/
((8/7)*5)	87/5*
(1/(1*0))	110*/
(4-(0/4))	404/-
(5/(9-7))	597-/
((0/3)+7)	03/7+
((0/2)+8)	02/8+
(0+(1*5))	015*+
(7+(1/6))	716/+
((2*5)*9)	25*9*
(9+(0+9))	909++
((8+7)*3)	87+3*
(4/(3-3))	433-/
((9/4)/2)	94/2/
(2/(4*3))	243*/
(4-(6-5))	465--
(3/(1-0))	310-/
(4+(8*2))	482*+
(8*(5+1))	851+*
(6-(8/4))	684/-
(4/(3+1))	431+/
((3*0)+7)	30*7+
((9/5)-7)	95/7-
((4*8)+4)	48*4+
((4+1)*7)	41+7*
(4-(9*2))	492*-
(2*(1+8))	218+*
(6+(1+0))	610++
(4*(5*4))	454**
(6-(7*9))	679*-
((5+8)*1)	58+1*
(7+(5+0))	750++
(5-(0+0))	500+-
(1/(3*3))	133*/
(2*(7/2))	272/*
(6/(9*2))	692*/
((2+0)+3)	20+3+
(1/(5-3))	153-/
((1*2)+4)	12*4+
(7-(6-8))	768--
(1*(1/6))	116/*
(6/(2*0))	620*/
(9*(7*8))	978**
(9-(9+7))	997+-
(3/(5+6))	356+/
((9+3)/9)	93+9/
(0*(5+8))	058+*
((3/6)/8)	36/8/
(4-(1/3))	413/-
(8/(5*2))	852*/
(3-(6/3))	363/-
((0/0)/0)	00/0/
((2/2)/2)	22/2/
(3-(2/3))	323/-
((4/9)-9)	49/9-
((0-6)/1)	06-1/
((4-8)+7)	48-7+
(4-(4*1))	441*-
(7/(1+2))	712+/
(5+(1*9))	519*+
(3*(2*9))	329**
(8/(3+9))	839+/
((9/1)/1)	91/1/
((7+1)-3)	71+3-
(5+(0*3))	503*+
(9-(6+1))	961+-
((3*8)+6)	38*6+
((8/6)+9)	86/9+
(2+(6-5))	265-+
((0*3)-4)	03*4-
(8/(0+2))	802+/
(3-(5-9))	359--
(4+(8/4))	484/+
(9*(7/3))	973/*
((8*3)/3)	83*3/
(8-(3-8))	838--
((4/2)+3)	42/3+
((4/4)*5)	44/5*
((5+7)/4)	57+4/
(9-(4+9))	949+-
((4*7)+1)	47*1+
(4-(2+7))	427+-
((8/6)*8)	86/8*
(7+(6-9))	769-+
((4*2)+3)	42*3+
((6+9)*3)	69+3*
((7/4)+9)	74/9+
((0+0)*5)	00+5*
((3-0)*6)	30-6*
(2+(4/3))	243/+
((0/5)*5)	05/5*
((9+5)*6)	95+6*
(4*(7+5))	475+*
(5/(8/2))	582//
((0*2)/8)	02*8/
((2*1)-7)	21*7-
((9/6)-4)	96/4-
(5*(8+2))	582+*
(4/(8*1))	481*/
(4+(7/7))	477/+
((4/9)-3)	49/3-
((3+1)/2)	31+2/
((7-1)/6)	71-6/
(0+(7-4))	074-+
((1*2)-9)	12*9-
(8/(2+3))	823+/
(2+(4+3))	243++
((3/8)*5)	38/5*
((9-5)-0)	95-0-
((8*5)+2)	85*2+
((1-2)/3)	12-3/
(5*(2/4))	524/*
((8+8)/9)	88+9/
(1*(6*4))	164**
(7/(8*3))	783*/
((8/0)*0)	80/0*
(0+(2/6))	026/+
(9+(2/9))	929/+
(4+(1*4))	414*+
((8+0)/3)	80+3/
(7/(2+2))	722+/
((6*7)*9)	67*9*
(6/(9*8))	698*/
((2/9)*9)	29/9*
(7-(2*0))	720*-
((3/2)+4)	32/4+
(5+(0+9))	509++
((8/3)-4)	83/4-
(6+(6-2))	662-+
(7-(6/6))	766/-
((5-2)-0)	52-0-
((5/5)/2)	55/2/
(6+(4*1))	641*+
(1-(4*1))	141*-
((4*4)/4)	44*4/
(3*(8+2))	382+*
((4+8)/5)	48+5/
((2+8)-4)	28+4-
(2/(7-7))	277-/
(4+(9-4))	494-+
(7-(4+6))	746+-
((7*9)*3)	79*3*
(6-(0+5))	605+-
(4+(0-5))	405-+
(0+(1-3))	013-+
(8*(3/9))	839/*
((8+9)+6)	89+6+
(5*(9-2))	592-*
(7+(4*9))	749*+
((3+1)/6)	31+6/
(3*(7-9))	379-*
(6/(6/0))	660//
(7*(1-3))	713-*
(5-(2-8))	528--
(4-(2/3))	423/-
((7-7)+0)	77-0+
(6*(3*4))	634**
((8/9)*0)	89/0*
((8*0)*5)	80*5*
((1-2)-5)	12-5-
(9/(7-2))	972-/
((2+3)+3)	23+3+
(4*(0*9))	409**
((6*9)*7)	69*7*
((6-3)*4)	63-4*
(4*(8/0))	480/*
(5*(8+5))	585+*
(5*(4-8))	548-*
((3+7)+9)	37+9+
((6-0)/0)	60-0/
((6+6)/3)	66+3/
(9-(9-3))	993--
(6-(2-4))	624--
(3+(0-1))	301-+
((9-1)*0)	91-0*
((5/0)+7)	50/7+
(8*(8/1))	881/*
(4*(2/7))	427/*
((9/8)/7)	98/7/
((4-0)/8)	40-8/
(6-(0+1))	601+-
((4+3)-7)	43+7-
((2/8)+7)	28/7+
((2-0)/1)	20-1/
(2*(5/4))	254/*
((8/7)/8)	87/8/
(3+(3+4))	334++
(9/(8/9))	989//
(2/(4*8))	248*/
(5-(9*4))	594*-
((5+7)+6)	57+6+
(2-(8/6))	286/-
(9*(0+9))	909+*
(3-(9/0))	390/-
((7-4)/6)	74-6/
((2/2)/3)	22/3/
(1-(4+2))	142+-
((0*7)*0)	07*0*
(8*(2+1))	821+*
((2-2)*9)	22-9*
(0/(3/5))	035//
(2-(7+4))	274+-
(7+(4/3))	743/+
(2+(9*8))	298*+
(0/(7+1))	071+/
(5/(7-2))	572-/
((5*0)*8)	50*8*
(6*(5+1))	651+*
(8-(4*5))	845*-
(1*(6/8))	168/*
(0+(8*5))	085*+
((6+3)*2)	63+2*
((0*0)+2)	00*2+
((1*4)*5)	14*5*
((4*4)+7)	44*7+
(0*(3+2))	032+*
((2/7)/7)	27/7/
((4+2)-4)	42+4-
((5/0)/3)	50/3/
((7+3)*9)	73+9*
((3-6)-7)	36-7-
(5-(2-2))	522--
(4-(0-8))	408--
((2+1)*6)	21+6*
(9/(0/7))	907//
(3*(0/5))	305/*
((2*8)*7)	28*7*
((8*1)*6)	81*6*
((4+7)-9)	47+9-
(6/(3+3))	633+/
((2/4)+4)	24/4+
(9-(0-2))	902--
((3+8)+6)	38+6+
((5*4)+0)	54*0+
(2+(5+0))	250++
((0/1)/2)	01/2/
((9*3)+0)	93*0+
(1-(0+8))	108+-
((4*6)/1)	46*1/
((8+4)-6)	84+6-
(6-(6/2))	662/-
((9+1)/3)	91+3/
((2*5)/3)	25*3/
(8/(7*2))	872*/
(2*(1*0))	210**
((0+7)-9)	07+9-
((7+0)/9)	70+9/
((7-2)/5)	72-5/
(4/(8+9))	489+/
(2*(6+9))	269+*
(4/(8-1))	481-/
(5+(5/8))	558/+
((0-6)*3)	06-3*
((9-8)*2)	98-2*
(0*(7+8))	078+*
((5*3)*7)	53*7*
((0/0)*9)	00/9*
((0*9)-8)	09*8-
((2*9)*9)	29*9*
(0-(4/4))	044/-
(1+(2*8))	128*+
(8/(9-9))	899-/
(6-(9*2))	692*-
((7/8)-1)	78/1-
(3/(0-4))	304-/
(2*(1+3))	213+*
(4-(9-9))	499--
((8/0)+9)	80/9+
(1*(1-6))	116-*
((2-0)-6)	20-6-
(3*(6+0))	360+*
((1+2)/6)	12+6/
((1*8)/9)	18*9/
(4-(2+7))	427+-
(8/(3-4))	834-/
((2+2)+8)	22+8+
((6-4)/6)	64-6/
((2-7)+7)	27-7+
((8/6)/8)	86/8/
((4/2)/9)	42/9/
((9+2)+1)	92+1+
(1+(6/7))	167/+
(3*(2+2))	322+*
((9+6)*2)	96+2*
(7/(6-0))	760-/
(0+(4+2))	042++
((3*5)*8)	35*8*
(6/(2-8))	628-/
((6+6)-4)	66+4-
(8/(9/6))	896//
((5-4)/5)	54-5/
((6/7)*3)	67/3*
(8-(6*4))	864*-
(3+(2-1))	321-+
(8/(6-9))	869-/
((7+6)+5)	76+5+
((6/4)-7)	64/7-
((3-5)-0)	35-0-
((8-7)+1)	87-1+
((9/5)+7)	95/7+
((6*1)-8)	61*8-
(1*(3*8))	138**
((1+8)*5)	18+5*
(4*(5+9))	459+*
((6/2)-2)	62/2-
(2-(4+7))	247+-
(1/(9-9))	199-/
((5*1)+5)	51*5+
(4-(3-1))	431--
(0-(0-1))	001--
((4-5)*6)	45-6*
(1+(5+4))	154++
((4/7)-5)	47/5-
((2-2)*2)	22-2*
((7-4)/6)	74-6/
((2+7)-5)	27+5-
(8*(5-4))	854-*
(2/(7*2))	272*/
(5+(4*8))	548*+
(0+(1*0))	010*+
(3-(0/7))	307/-
((7+1)-5)	71+5-
(1-(7-1))	171--
(3+(6*6))	366*+
(5*(2/2))	522/*
(0+(0-7))	007-+
(3/(3/0))	330//
((4/4)*0)	44/0*
(2/(0/1))	201//
((3*0)/6)	30*6/
((6/6)/1)	66/1/
((5*9)+8)	59*8+
((7-2)+2)	72-2+
(0-(9-4))	094--
(4/(3/4))	434//
(3+(4*9))	349*+
((3-1)+3)	31-3+
((4*5)-4)	45*4-
(6*(6-1))	661-*
(2-(7/6))	276/-
(4/(2*1))	421*/
((2*7)-3)	27*3-
(5*(9-0))	590-*
(8-(7+9))	879+-
(8/(9+2))	892+/
(7+(7-6))	776-+
(8+(1*0))	810*+
(1*(2+7))	127+*
((8/3)*5)	83/5*
(9+(4/8))	948/+
((9-5)*1)	95-1*
(6*(4/0))	640/*
((7-7)*0)	77-0*
(4/(2*7))	427*/
((9-4)/5)	94-5/
(8-(8-5))	885--
(1/(3/9))	139//
(3*(7-8))	378-*
((7/1)/1)	71/1/
((3*6)*3)	36*3*
(6*(6-9))	669-*
(4*(8/8))	488/*
((2/3)+2)	23/2+
(7-(9/1))	791/-
((3/1)*5)	31/5*
(4+(0/1))	401/+
((5-4)-3)	54-3-
((9*3)*5)	93*5*
(9+(6*5))	965*+
(7-(2*5))	725*-
(3/(1+2))	312+/
(5/(5*7))	557*/
(6*(9+3))	693+*
(1+(7/9))	179/+
((3/2)*4)	32/4*
((1*6)-8)	16*8-
((3/3)*1)	33/1*
(2-(1-1))	211--
(4*(4-2))	442-*
(8*(3-7))	837-*
(5/(8-3))	583-/
(7-(9/3))	793/-
(1+(2-6))	126-+
(4-(9*1))	491*-
(1+(5-5))	155-+
((1*7)*6)	17*6*
(8-(9+1))	891+-
(6-(1*0))	610*-
((0/0)+2)	00/2+
(6/(3+2))	632+/
((1-6)/8)	16-8/
(9-(6/0))	960/-
((5*8)*8)	58*8*
(9/(5-7))	957-/
((0+3)/3)	03+3/
((7-4)-2)	74-2-
(5*(2*2))	522**
(5*(8*9))	589**
(5+(4/3))	543/+
((6+5)-4)	65+4-
(1*(7-7))	177-*
((8-7)*8)	87-8*
((2/0)*5)	20/5*
(3+(5/1))	351/+
(6*(7-9))	679-*
(2/(3/1))	231//
(4*(7*7))	477**
((8-2)+8)	82-8+
(3-(0+1))	301+-
((2/6)*9)	26/9*
((6*8)*3)	68*3*
(0/(1/7))	017//
((8+2)/1)	82+1/
(8/(4/8))	848//
(4+(9-7))	497-+
((4*5)/0)	45*0/
((5-4)*5)	54-5*
((4/3)*3)	43/3*
(6+(4-0))	640-+
(6-(7-6))	676--
(7+(0/1))	701/+
(2/(0*3))	203*/
(2-(6/2))	262/-
(2*(8*1))	281**
(8-(4+6))	846+-
((2/7)/1)	27/1/
((5+5)-4)	55+4-
(7+(5/0))	750/+
((3*4)/9)	34*9/
(7-(8+2))	782+-
((5/5)/7)	55/7/
((8+1)/7)	81+7/
(0/(3+0))	030+/
((2/2)*6)	22/6*
(5-(5-7))	557--
((0/7)*4)	07/4*
(4-(7+6))	476+-
((2*0)+0)	20*0+
(8+(0+7))	807++
(6+(1-9))	619-+
((4*6)-5)	46*5-
(6/(7-0))	670-/
(4*(2/3))	423/*
((9/2)-4)	92/4-
(7-(7-0))	770--
(6-(7*1))	671*-
((2*0)/3)	20*3/
(8*(3-2))	832-*
(7/(0-1))	701-/
(3-(7/5))	375/-
(5-(2+8))	528+-
((6*1)/7)	61*7/
((7+2)+4)	72+4+
(2/(3+5))	235+/
((3+9)-1)	39+1-
(6*(2-0))	620-*
((4*4)-9)	44*9-
(8+(0*6))	806*+
(3+(7+1))	371++
(8*(5*9))	859**
(1*(1*7))	117**
(0-(4-1))	041--
(1/(5-6))	156-/
(5/(2/8))	528//
